OBJECTID,Structure,Type,Long,Lat
353,Light or Signal Pole,Merc street lamp,-123.376002181826,48.4348634131845
354,Splice Box,CL s/w box (small),-123.376003611189,48.4348665753049
355,Splice Box,CL s/w box (small),-123.375569004121,48.4347979508126
356,Light or Signal Pole,Merc street lamp,-123.364508240021,48.4357202250395
357,Splice Box,CL s/w box (small),-123.364507563288,48.4357227705105
358,Light or Signal Pole,Merc street lamp,-123.364022899635,48.4357136441183
359,Splice Box,CL s/w box (small),-123.364025215006,48.4357056046676
360,Splice Box,CL s/w box (small),-123.364372166946,48.4355520928722
361,Light or Signal Pole,Merc street lamp,-123.364121412463,48.43574488749
362,Light or Signal Pole,Merc street lamp,-123.364280291331,48.4360314236944
363,Splice Box,CL s/w box (small),-123.358122341948,48.4352113311107
364,Signal Kiosk,Signal controller kiosk,-123.358147173087,48.4352125799608
365,Splice Box,CL s/w box (small),-123.358173502231,48.4353600283241
366,Splice Box,CL s/w box (small),-123.358146490883,48.4352380855635
367,Splice Box,CL s/w box (small),-123.364406450765,48.4317993323997
368,Splice Box,CL s/w box (large),-123.364405979435,48.4318412092894
369,Cluster Lamp,Cluster lights (crossed),-123.36402458303,48.4318870082363
370,Cluster Lamp,Cluster lights (crossed),-123.363736963776,48.4318914684768
371,Cluster Lamp,Cluster lights (crossed),-123.363451454509,48.4318957018258
372,Light or Signal Pole,Merc street lamp,-123.36217833662,48.4320251211261
373,Splice Box,CL s/w box (small),-123.36146879469,48.4325448061041
374,Private lamp std,Private lamp std,-123.360714615926,48.4324853578422
375,Splice Box,CL s/w box (small),-123.361403081028,48.4330248508417
376,Splice Box,CL s/w box (small),-123.361276044991,48.4339767701097
377,Light or Signal Pole,Merc street lamp,-123.363470157893,48.4356944482301
378,Splice Box,CL s/w box (small),-123.363463402511,48.4356802900436
379,Splice Box,CL s/w box (large),-123.36376258661,48.4357169796717
380,Splice Box,CL s/w box (small),-123.363813013227,48.4356970802289
381,Splice Box,CL s/w box (small),-123.363743660649,48.4356956356685
382,Splice Box,CL s/w box (small),-123.363764633908,48.4355139899187
383,Splice Box,CL s/w box (small),-123.363774839606,48.4355154439388
384,Light or Signal Pole,Merc street lamp,-123.363084926285,48.4356858076633
385,Splice Box,CL s/w box (small),-123.364749808772,48.433282330389
386,Splice Box,CL s/w box (large),-123.364761535202,48.433563987656
387,Splice Box,CL s/w box (small),-123.364761536752,48.4336311308916
388,Splice Box,CL s/w box (small),-123.364765320269,48.4338261592638
389,Splice Box,CL s/w box (large),-123.364785086478,48.4341000127028
390,Splice Box,CL s/w box (large),-123.364446691215,48.4341011455377
391,Splice Box,CL s/w box (small),-123.364488204091,48.4340610298631
392,Splice Box,CL s/w box (small),-123.364478064719,48.4338272013951
393,Splice Box,CL s/w box (large),-123.36446966037,48.4335463135465
394,Splice Box,CL s/w box (large),-123.364460571256,48.4333614374982
395,Cluster Lamp,Cluster lights (crossed),-123.3645077729,48.4342575125081
396,Cluster Lamp,Cluster lights (crossed),-123.364481860106,48.4340618848118
397,Manhole,City light manhole 0.8m,-123.364729952789,48.4341236601882
398,Light or Signal Pole,Merc street lamp,-123.364779723445,48.4340677058876
399,Splice Box,CL s/w box (small),-123.364773425363,48.4340677950987
400,Manhole,City light manhole 0.8m,-123.364666634859,48.4334870155569
401,Cluster Lamp,Cluster lights (crossed),-123.36475618595,48.4332823506855
402,Cluster Lamp,Cluster lights (crossed),-123.3647706766,48.4338261513042
403,Splice Box,CL s/w box (large),-123.364828494935,48.4333978131341
404,Splice Box,CL s/w box (large),-123.36484138616,48.4335313399771
405,Splice Box,CL s/w box (large),-123.362921517355,48.4356551348513
406,Light or Signal Pole,Signal standard,-123.362914156511,48.435653528752
